;id;comments
0;1;I have a proposal for u, send me a DM please!
1;1;Woaaaah
2;1;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
3;1;:red_heart:️:red_heart:️:red_heart:️
4;1;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes: so glad you made it! @kilianparis
5;1;:fire::fire::fire:
6;1;This is perfection :smiling_face_with_heart-eyes:
7;1;The best ever :fire:
8;1;You're so gorgeous :smiling_face_with_heart-eyes:
9;1;Stunning as usual :red_heart:️
10;2;Hey Tina I just want to make sure you got my message :)
11;2;All the colors! these are stunning!
12;2;How did moccona get your home address though ?
13;2;So pretty :smiling_face_with_heart-eyes:
14;2;Just caught up on this. Beautiful words :red_heart:️
15;2;@cristinadalton22
16;3;love this monochrome look :fire::fire::fire:
17;3;:smiling_face_with_heart-eyes:
18;3;Mary, this is incredible :smiling_face_with_heart-eyes:
19;3;The drama:fire:
20;3;Love this look :smiling_face_with_heart-eyes:
21;3;:white_heart:
22;3;:red_heart:️:red_heart:️
23;3;:broken_heart:
24;3;Love this look
25;4;:OK_hand_medium_skin_tone::white_heart::smiling_face_with_sunglasses:
26;4;Zo terecht, you are one of a kind :red_heart:️:clapping_hands_medium-dark_skin_tone::raising_hands_medium-dark_skin_tone:
27;4;babe what size are you wearing in the denim?
28;4;:butterfly::butterfly::two_hearts::two_hearts:
29;4;:white_heart::heart_exclamation:️:heart_on_fire::tulip::collision:
30;4;Nice!!:black_heart:
31;4;:fire:
32;4;Love it:red_heart:️
33;4;Obsessed
34;5;Маша, ты королева :broken_heart:
35;5;:heart_on_fire::heart_on_fire::heart_on_fire:
36;5;Perfect match :broken_heart:🫦
37;5;Gorgeous :red_heart:️:red_heart:️:red_heart:️
38;5;Dreams come true:smiling_face_with_heart-eyes::fire:
39;5;Si belle :red_heart:️:smiling_face_with_heart-eyes:
40;5;Love it so much :smiling_face_with_heart-eyes:
41;5;Wow so beautiful :hundred_points:
42;5;So elegant and classy :fire:
43;5;Red suits you so much :red_heart:️
44;6;Derde foto!!! Smelt :smiling_face_with_heart-eyes:
45;6;Olive:smiling_face_with_heart-eyes::olive::red_heart:️
46;7;🫶🫶🫶🫶
47;7;Прекрасна :red_heart:️
48;7;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
49;7;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
50;7;Красота :raising_hands::red_heart:️:fire:!
51;7;Stunning :smiling_face_with_heart-eyes:
52;7;The queen of cannes festival
53;7;:red_heart:️
54;7;Can you check direct
55;7;OMG :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes: You are so beautiful :smiling_face_with_heart-eyes:
56;8;Zo mooi :black_heart::white_heart:
57;8;:red_heart:️
58;8;Wow :ribbon:
59;8;:smiling_face_with_heart-eyes:
60;8;Chic
61;8;Perfect:smiling_face_with_heart-eyes:
62;8;:smiling_face_with_heart-eyes:
63;8;:brown_heart::brown_heart::brown_heart:
64;8;Mooi :red_heart:️
65;8;:black_heart:
66;9;Just wow :red_heart:️
67;9;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:
68;9;This is crazy:red_heart:️
69;9;literally the Audrey!
70;9;- Take a picture. Take a picture :camera_with_flash:
71;9;Really talented :star-struck::star-struck::star-struck::star-struck::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes: Brilliant & Chic I proud of U @hassanzadeh_jewelry :beating_heart::red_heart:️:clapping_hands::clapping_hands::clapping_hands::clapping_hands::purple_heart:🩵:blue_heart::green_heart::red_heart:️
72;9;"Proud of my country ""Iran"":red_heart:️:beating_heart:"
73;9;:smiling_face_with_heart-eyes:
74;9;🫶:dizzy::smiling_face_with_heart-eyes:
75;9;Took my breath away :sparkles:
76;10;:green_heart::green_heart::green_heart:
77;10;So lush :cloud:️:cloud:️:cloud:️
78;10;Cool mom :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
79;10;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
80;10;:black_heart::black_heart::black_heart:
81;10;:white_heart: zo chic!!!
82;10;Gorgeous :white_heart:
83;10;:smiling_face_with_heart-eyes:
84;10;Love the tabis:red_heart:️
85;10;:red_heart:️
86;11;:fire::fire::fire::fire:
87;11;美麗警告LV~celin~Hermes~dior~fendi~Chanel~Gucci.....靠谱可人一百分#品质控+:syy845
88;11;Are those :melon::melon: real :thinking_face:
89;11;:white_heart::white_heart:
90;11;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
91;11;This look :red_heart:️
92;11;Шикарная!
93;11;:fire::fire::fire:
94;11;:red_heart:️:fire: просто невероятная
95;11;:fire::fire::fire:
96;12;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
97;12;Dream :thought_balloon:
98;12;:red_heart:️donkey
99;12;Love :white_heart::white_heart:
100;13;:white_heart:
101;13;I FEEL this post
102;13;:coin::coin::coin:
103;13;︎♡
