,id,type,n_likes,n_comments
0,1,Sidecar,32070.0,142.0
1,2,Sidecar,6565.0,86.0
2,3,Sidecar,28936.0,123.0
3,4,Sidecar,4764.0,215.0
4,5,Sidecar,13379.0,123.0
5,6,Sidecar,2690.0,85.0
6,7,Sidecar,30237.0,112.0
7,8,Sidecar,978.0,53.0
8,9,Sidecar,32123.0,172.0
9,10,Sidecar,2277.0,51.0
10,11,Sidecar,27133.0,144.0
11,12,Sidecar,725.0,30.0
12,13,Sidecar,1618.0,37.0
13,14,Sidecar,1271.0,47.0
14,15,Sidecar,31144.0,163.0
15,16,Sidecar,2364.0,71.0
16,17,Sidecar,1042.0,26.0
17,18,Sidecar,4162.0,234.0
18,19,Sidecar,1396.0,44.0
19,20,Sidecar,1804.0,47.0
20,21,Sidecar,360447.0,2720.0
21,22,Sidecar,420347.0,2504.0
22,23,Sidecar,634005.0,2259.0
23,24,Sidecar,1343038.0,16342.0
24,25,Sidecar,641945.0,5461.0
25,26,Sidecar,115366.0,1446.0
26,27,Sidecar,206.0,21.0
27,28,Sidecar,209.0,10.0
28,29,Sidecar,171.0,6.0
29,30,Sidecar,122.0,13.0
30,31,Sidecar,101.0,11.0
31,32,Sidecar,124.0,9.0
32,33,Sidecar,174.0,9.0
33,34,Sidecar,126.0,3.0
34,35,Sidecar,146.0,13.0
35,36,Sidecar,102.0,7.0
36,37,Sidecar,135.0,10.0
37,38,Sidecar,132.0,7.0
38,39,Sidecar,362493.0,4089.0
39,40,Sidecar,1349.0,42.0
40,41,Sidecar,25002.0,809.0
41,42,Sidecar,35122.0,137.0
42,43,Sidecar,52006.0,282.0
43,44,Sidecar,101242.0,284.0
44,45,Sidecar,158048.0,744.0
45,46,Sidecar,11234.0,47.0
46,47,Sidecar,12719.0,284.0
47,48,Sidecar,19844.0,213.0
48,49,Sidecar,125312.0,421.0
49,50,Sidecar,270901.0,823.0
50,51,Sidecar,137836.0,733.0
51,52,Sidecar,356527.0,652.0
52,53,Sidecar,338678.0,981.0
53,54,Sidecar,1308.0,385.0
54,55,Sidecar,1009.0,255.0
55,56,Sidecar,118.0,4.0
56,57,Sidecar,11328.0,66.0
57,58,Sidecar,4864.0,25.0
58,59,Sidecar,648.0,9.0
59,60,Sidecar,479.0,7.0
